election_id,election_year,office,district_display,dem_margin,dem_margin_two_party,response_shift
140761,2020,State Representative,37th Middlesex,29.104953017996493,29.1049530179965,7.105427357601002e-15
124865,2014,State Representative,16th Suffolk,35.845824411134906,35.8458244111349,-7.105427357601002e-15
126336,2014,State Representative,13th Worcester,37.15688056716961,37.1568805671696,-7.105427357601002e-15
112929,2012,State Representative,4th Plymouth,36.80549664941894,36.80549664941895,7.105427357601002e-15
126229,2014,State Senate,2nd Plymouth and Bristol,32.96700821979506,32.96700821979507,7.105427357601002e-15
165388,2024,State Senate,Worcester & Hampshire,-16.834240794557466,-16.83424079455746,7.105427357601002e-15
112932,2012,State Representative,5th Middlesex,29.296278521879504,29.296278521879497,-7.105427357601002e-15
124833,2013,State Representative,16th Worcester,27.79097387173397,27.790973871733964,-7.105427357601002e-15
126268,2014,State Senate,1st Bristol and Plymouth,30.734256072747375,30.734256072747367,-7.105427357601002e-15
105511,2010,State Representative,11th Bristol,33.276547416240774,33.27654741624077,-7.105427357601002e-15
130448,2016,State Representative,4th Middlesex,19.294434098903366,19.294434098903373,7.105427357601002e-15
112769,2012,State Representative,7th Middlesex,42.236683879182294,42.23668387918229,-7.105427357601002e-15
140744,2020,State Representative,37th Middlesex,48.46153846153847,48.46153846153846,-7.105427357601002e-15
112757,2012,State Senate,4th Middlesex,36.313935123314295,36.3139351233143,7.105427357601002e-15
112878,2012,State Senate,1st Middlesex,42.36638146339891,42.366381463398916,7.105427357601002e-15
105730,2010,State Representative,10th Middlesex,47.53201055615286,47.53201055615287,7.105427357601002e-15
140817,2020,State Senate,"Norfolk, Bristol and Middlesex",19.49595328347506,19.495953283475053,-7.105427357601002e-15
140777,2020,State Senate,2nd Hampden and Hampshire,28.169050116401028,28.169050116401035,7.105427357601002e-15
126319,2014,State Representative,1st Plymouth,-20.42547637692509,-20.425476376925083,7.105427357601002e-15
105556,2010,State Senate,Worcester and Middlesex,17.848731709200422,17.848731709200415,-7.105427357601002e-15
105554,2010,State Senate,"Worcester, Hampden, Hampshire and Franklin",32.48864776611847,32.488647766118476,7.105427357601002e-15
130405,2016,State Representative,3rd Bristol,-17.299436918102252,-17.299436918102245,7.105427357601002e-15
131733,2018,State Representative,30th Middlesex,39.80716253443526,39.807162534435264,7.105427357601002e-15
126282,2014,State Representative,3rd Norfolk,32.2090549984807,32.20905499848071,7.105427357601002e-15
105575,2010,State Senate,"Norfolk, Bristol and Plymouth",25.848675458621422,25.84867545862143,7.105427357601002e-15
131690,2018,State Representative,14th Essex,28.919722497522304,28.919722497522297,-7.105427357601002e-15
112938,2012,State Representative,10th Middlesex,51.99071723837842,51.990717238378416,-7.105427357601002e-15
126305,2014,State Representative,4th Plymouth,17.307265052210624,17.307265052210617,-7.105427357601002e-15
126147,2014,State Representative,1st Middlesex,-28.58987603305785,-28.589876033057855,-7.105427357601002e-15
131697,2018,State Representative,10th Worcester,12.222286675561222,12.222286675561229,7.105427357601002e-15
105605,2010,State Representative,8th Suffolk,54.49850049983338,54.49850049983339,7.105427357601002e-15
131636,2018,State Representative,1st Hampden,-34.58804335159072,-34.58804335159073,-7.105427357601002e-15
105523,2010,State Senate,Hampden,21.878443672120035,21.878443672120028,-7.105427357601002e-15
126330,2014,State Representative,19th Middlesex,40.615625407590976,40.61562540759097,-7.105427357601002e-15
112800,2012,State Senate,2nd Suffolk and Middlesex,52.73308683921256,52.733086839212554,-7.105427357601002e-15
126090,2014,State Senate,Norfolk and Plymouth,32.12978873951278,32.12978873951279,7.105427357601002e-15
105721,2010,State Senate,2nd Middlesex,34.17148911891759,34.1714891189176,7.105427357601002e-15
154492,2022,State Representative,11th Suffolk,45.34248987497799,45.342489874977986,-7.105427357601002e-15
112708,2012,State Representative,14th Middlesex,30.802727072795257,30.80272707279525,-7.105427357601002e-15
154440,2022,State Senate,2nd Essex,35.43473273686626,35.43473273686625,-7.105427357601002e-15
126184,2014,State Senate,Worcester and Middlesex,20.86626423548448,20.866264235484472,-7.105427357601002e-15
105562,2010,State Representative,7th Middlesex,27.561661976493962,27.561661976493955,-7.105427357601002e-15
131693,2018,State Representative,3rd Norfolk,37.66283770775845,37.662837707758456,7.105427357601002e-15
154398,2022,State Representative,2nd Worcester,6.998813760379602,6.998813760379596,-6.217248937900877e-15
154357,2022,State Representative,8th Bristol,7.048150732728536,7.048150732728542,6.217248937900877e-15
131589,2018,State Senate,Worcester and Norfolk,-15.94547814798788,-15.945478147987885,-5.329070518200751e-15
131543,2018,State Representative,18th Essex,9.769411764705888,9.769411764705882,-5.329070518200751e-15
126278,2014,State Representative,15th Essex,14.736059479553898,14.736059479553903,5.329070518200751e-15
