definition,variant,bin,bin_lower,bin_upper,n_races,small_sample,mean_forecast,observed_frequency,fold_schedule
two_party,baseline_national_env,0.8-0.9,0.8,0.9,35,False,0.863807,0.914286,election_date>=2014-01-01
two_party,baseline_national_env,0.9-1.0,0.9,1.0,131,False,0.973962,0.984733,election_date>=2014-01-01
two_party,baseline_money_share,0.0-0.1,0.0,0.1,63,False,0.028258,0.031746,election_date>=2014-01-01
two_party,baseline_money_share,0.1-0.2,0.1,0.2,19,False,0.142632,0.315789,election_date>=2014-01-01
two_party,baseline_money_share,0.2-0.3,0.2,0.3,13,False,0.263404,0.307692,election_date>=2014-01-01
two_party,baseline_money_share,0.3-0.4,0.3,0.4,12,False,0.346937,0.416667,election_date>=2014-01-01
two_party,baseline_money_share,0.4-0.5,0.4,0.5,17,False,0.447735,0.705882,election_date>=2014-01-01
two_party,baseline_money_share,0.5-0.6,0.5,0.6,12,False,0.541167,0.916667,election_date>=2014-01-01
two_party,baseline_money_share,0.6-0.7,0.6,0.7,13,False,0.640942,0.923077,election_date>=2014-01-01
two_party,baseline_money_share,0.7-0.8,0.7,0.8,20,False,0.734956,0.9,election_date>=2014-01-01
two_party,baseline_money_share,0.8-0.9,0.8,0.9,23,False,0.848973,0.913043,election_date>=2014-01-01
two_party,baseline_money_share,0.9-1.0,0.9,1.0,141,False,0.981674,0.978723,election_date>=2014-01-01
two_party,baseline_money_logratio,0.0-0.1,0.0,0.1,60,False,0.033694,0.016667,election_date>=2014-01-01
two_party,baseline_money_logratio,0.1-0.2,0.1,0.2,21,False,0.144304,0.190476,election_date>=2014-01-01
two_party,baseline_money_logratio,0.2-0.3,0.2,0.3,9,True,0.222264,0.333333,election_date>=2014-01-01
two_party,baseline_money_logratio,0.3-0.4,0.3,0.4,11,False,0.335352,0.636364,election_date>=2014-01-01
two_party,baseline_money_logratio,0.4-0.5,0.4,0.5,14,False,0.444723,0.571429,election_date>=2014-01-01
two_party,baseline_money_logratio,0.5-0.6,0.5,0.6,15,False,0.559,0.866667,election_date>=2014-01-01
